epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,13273.9,1.32055,3.89494,1.72689,0.68602,0.3945,0.42474,0.18805,2.38384,7.33964,3.3248,0.000266869,0.000266869,0.000266869
98,13404.1,1.30861,3.88255,1.70757,0.75385,0.39106,0.42669,0.18173,2.39671,7.68617,3.4067,0.000262968,0.000262968,0.000262968
99,13531.6,1.31315,3.82259,1.69572,0.6281,0.39283,0.42215,0.18228,2.39917,7.41922,3.38613,0.000259063,0.000259063,0.000259063
100,13657.8,1.30585,3.79497,1.70513,0.74031,0.38562,0.4209,0.18456,2.35729,7.38148,3.38299,0.000255157,0.000255157,0.000255157
101,13791.2,1.30437,3.85398,1.71392,0.6653,0.39642,0.41969,0.17468,2.34001,7.16896,3.39264,0.00025125,0.00025125,0.00025125
102,13918.6,1.3038,3.81657,1.69669,0.72502,0.38016,0.41116,0.17322,2.34897,7.04628,3.38832,0.000247343,0.000247343,0.000247343
103,14046,1.31906,3.90173,1.70768,0.72865,0.37978,0.41949,0.18065,2.3611,7.38123,3.35504,0.000243437,0.000243437,0.000243437
104,14175.3,1.30455,3.81869,1.70696,0.71171,0.40113,0.41197,0.18358,2.36858,6.88933,3.35722,0.000239532,0.000239532,0.000239532
105,14302.6,1.29278,3.7556,1.68514,0.70761,0.39743,0.43653,0.19163,2.38537,6.93379,3.36798,0.000235631,0.000235631,0.000235631
106,14430.4,1.29648,3.79238,1.6885,0.65164,0.40317,0.39759,0.17704,2.41114,6.82847,3.44274,0.000231733,0.000231733,0.000231733
107,14562.4,1.29432,3.76908,1.68975,0.65694,0.40137,0.39727,0.175,2.39921,7.18663,3.40868,0.000227841,0.000227841,0.000227841
108,14689,1.25344,3.67791,1.66978,0.78605,0.38146,0.41525,0.19074,2.3666,6.90289,3.3611,0.000223954,0.000223954,0.000223954
109,14817.5,1.2919,3.70977,1.69262,0.64486,0.40137,0.41254,0.1857,2.34849,6.9518,3.36633,0.000220073,0.000220073,0.000220073
110,14945.7,1.27791,3.65882,1.68003,0.69766,0.38989,0.39697,0.18948,2.31501,6.74819,3.27776,0.000216201,0.000216201,0.000216201
111,15072.1,1.26934,3.61066,1.66577,0.77714,0.38348,0.407,0.18282,2.30972,6.74076,3.29471,0.000212337,0.000212337,0.000212337
112,15202.6,1.26379,3.58979,1.67812,0.74126,0.38551,0.42293,0.18744,2.32666,6.48401,3.30608,0.000208483,0.000208483,0.000208483
113,15330.4,1.26959,3.64209,1.66583,0.69989,0.3876,0.43113,0.19342,2.32614,6.18354,3.29473,0.000204639,0.000204639,0.000204639
114,15457.2,1.26231,3.56028,1.65433,0.66604,0.41298,0.42564,0.19049,2.33258,6.14553,3.3037,0.000200807,0.000200807,0.000200807
115,15587,1.25593,3.51647,1.67109,0.67164,0.41738,0.44107,0.19671,2.33094,6.03712,3.30193,0.000196987,0.000196987,0.000196987
116,15714.3,1.25851,3.55711,1.65813,0.74784,0.39528,0.44735,0.20988,2.31401,6.07588,3.30444,0.00019318,0.00019318,0.00019318
117,15841.5,1.25218,3.4813,1.665,0.68474,0.38551,0.45401,0.21062,2.32745,6.0163,3.32366,0.000189388,0.000189388,0.000189388
118,15974,1.25398,3.5583,1.65751,0.65579,0.40488,0.4512,0.20695,2.3234,6.07786,3.35827,0.000185612,0.000185612,0.000185612
119,16101.9,1.25575,3.46882,1.6532,0.71734,0.39239,0.44288,0.19732,2.30997,6.12333,3.32518,0.000181851,0.000181851,0.000181851
120,16230.1,1.24815,3.46324,1.65755,0.70501,0.39161,0.43725,0.19667,2.32419,6.04584,3.36932,0.000178107,0.000178107,0.000178107
121,16358.5,1.24465,3.39164,1.63304,0.7554,0.38222,0.43899,0.20028,2.34621,5.98225,3.38899,0.000174382,0.000174382,0.000174382
122,16485.2,1.23169,3.45427,1.62286,0.65104,0.40412,0.45351,0.20076,2.34652,5.99483,3.4023,0.000170676,0.000170676,0.000170676
123,16613.9,1.23357,3.40672,1.64184,0.68978,0.36472,0.45108,0.20227,2.32497,6.10417,3.40242,0.000166989,0.000166989,0.000166989
124,16742.2,1.21889,3.32431,1.63475,0.6915,0.39822,0.46259,0.20618,2.329,6.12823,3.38187,0.000163323,0.000163323,0.000163323
125,16868.5,1.24333,3.36855,1.6453,0.69557,0.38936,0.46221,0.20884,2.3286,6.14773,3.39738,0.000159679,0.000159679,0.000159679
126,16999.1,1.22679,3.39095,1.643,0.69432,0.38881,0.4332,0.19523,2.33111,6.25737,3.4215,0.000156057,0.000156057,0.000156057
127,17125.2,1.22373,3.35355,1.63644,0.67493,0.39894,0.42606,0.19451,2.33167,6.25936,3.43867,0.000152459,0.000152459,0.000152459
128,17251.8,1.21953,3.30693,1.62689,0.69028,0.3924,0.41741,0.18919,2.35209,6.19002,3.44858,0.000148886,0.000148886,0.000148886
129,17383.1,1.21215,3.29165,1.61756,0.70118,0.38076,0.42526,0.19238,2.36801,6.13025,3.48788,0.000145337,0.000145337,0.000145337
130,17509.9,1.2194,3.38374,1.63287,0.75944,0.36666,0.42834,0.19221,2.39022,6.00114,3.55677,0.000141815,0.000141815,0.000141815
131,17636.4,1.21933,3.33544,1.62557,0.68046,0.39422,0.43566,0.19106,2.38487,6.18181,3.56347,0.00013832,0.00013832,0.00013832
132,17767.6,1.20015,3.23655,1.6153,0.69555,0.38609,0.43711,0.19212,2.36305,6.06381,3.54679,0.000134852,0.000134852,0.000134852
133,17894.3,1.20912,3.27688,1.62178,0.70056,0.39135,0.43851,0.18401,2.38067,6.11816,3.5587,0.000131414,0.000131414,0.000131414
134,18022.4,1.20977,3.34054,1.61725,0.75261,0.38612,0.45486,0.19363,2.37916,6.13583,3.52873,0.000128005,0.000128005,0.000128005
135,18154.2,1.18384,3.20388,1.59797,0.70068,0.38449,0.43485,0.1889,2.38378,6.04014,3.53543,0.000124626,0.000124626,0.000124626
136,18280.8,1.19477,3.2019,1.61084,0.70953,0.38413,0.43624,0.19083,2.37846,6.00218,3.52153,0.000121278,0.000121278,0.000121278
137,18409.1,1.18024,3.21206,1.59027,0.70291,0.38259,0.42568,0.18588,2.37856,6.02678,3.52972,0.000117963,0.000117963,0.000117963
138,18537.8,1.19401,3.17632,1.59834,0.69916,0.38787,0.42274,0.18513,2.33878,6.09425,3.4664,0.000114681,0.000114681,0.000114681
139,18663.6,1.18822,3.2101,1.61288,0.70933,0.38584,0.42588,0.18332,2.36332,6.02294,3.52955,0.000111432,0.000111432,0.000111432
140,18794,1.18306,3.21364,1.61169,0.74905,0.39133,0.42612,0.1865,2.37756,6.02803,3.57166,0.000108217,0.000108217,0.000108217
141,18921.2,1.19565,3.23435,1.59874,0.70161,0.38499,0.42074,0.18747,2.3831,5.89443,3.64457,0.000105038,0.000105038,0.000105038
142,19047.8,1.18984,3.24159,1.61199,0.70495,0.39182,0.42118,0.18346,2.38065,5.88724,3.61272,0.000101895,0.000101895,0.000101895
143,19179.7,1.18025,3.12534,1.60003,0.70278,0.39155,0.42499,0.19225,2.37625,5.80207,3.59168,9.87894e-05,9.87894e-05,9.87894e-05
144,19307.7,1.17466,3.09966,1.58304,0.74081,0.39242,0.42651,0.19215,2.38237,5.77755,3.58759,9.57209e-05,9.57209e-05,9.57209e-05
145,19433.8,1.17089,3.11272,1.59013,0.73957,0.38593,0.42471,0.19006,2.38214,5.78892,3.58419,9.26908e-05,9.26908e-05,9.26908e-05
146,19587.6,1.1695,3.08282,1.59227,0.69061,0.39508,0.4211,0.18662,2.37376,5.85604,3.58049,8.96998e-05,8.96998e-05,8.96998e-05
147,19841,1.17019,3.14354,1.58402,0.70051,0.38593,0.41762,0.1842,2.36983,5.80879,3.60123,8.67487e-05,8.67487e-05,8.67487e-05
148,20089.2,1.17255,3.15848,1.59544,0.73595,0.39343,0.41971,0.18421,2.37567,5.77593,3.60565,8.38381e-05,8.38381e-05,8.38381e-05
149,20337,1.17849,3.05003,1.58413,0.74049,0.39244,0.42288,0.18609,2.35034,5.6307,3.57411,8.09689e-05,8.09689e-05,8.09689e-05
150,20583.4,1.15279,3.03099,1.56762,0.74912,0.40721,0.42867,0.19009,2.35452,5.60871,3.56891,7.81417e-05,7.81417e-05,7.81417e-05
151,20828.5,1.15853,3.04995,1.56511,0.74339,0.40587,0.42822,0.18885,2.36212,5.65459,3.5891,7.53572e-05,7.53572e-05,7.53572e-05
152,21075.2,1.14752,3.0002,1.5556,0.74565,0.40063,0.43217,0.19525,2.37699,5.71711,3.61826,7.26161e-05,7.26161e-05,7.26161e-05
153,21276.1,1.15675,3.03355,1.56955,0.74125,0.39355,0.42619,0.19386,2.39268,5.7607,3.64787,6.99191e-05,6.99191e-05,6.99191e-05
154,21408.7,1.15666,3.02656,1.56953,0.74504,0.39325,0.42762,0.19184,2.38396,5.74746,3.64464,6.72668e-05,6.72668e-05,6.72668e-05
155,21534.5,1.13876,2.96137,1.54518,0.69228,0.39743,0.43053,0.19063,2.3866,5.76684,3.63,6.46599e-05,6.46599e-05,6.46599e-05
156,21663.2,1.14326,2.97825,1.5567,0.69146,0.39456,0.43148,0.19263,2.38537,5.81271,3.64287,6.2099e-05,6.2099e-05,6.2099e-05
157,21790.9,1.14998,3.03938,1.56681,0.65127,0.39208,0.43185,0.1928,2.3833,5.77596,3.65528,5.95848e-05,5.95848e-05,5.95848e-05
158,21916.9,1.14985,3.02961,1.55449,0.65444,0.39272,0.43065,0.1927,2.39207,5.79298,3.66518,5.71179e-05,5.71179e-05,5.71179e-05
159,22047.6,1.14918,3.02131,1.55925,0.65241,0.39363,0.43418,0.20027,2.3888,5.7682,3.6652,5.46989e-05,5.46989e-05,5.46989e-05
160,22174.3,1.13558,2.96971,1.56804,0.65534,0.39184,0.43073,0.1956,2.39412,5.81549,3.68315,5.23284e-05,5.23284e-05,5.23284e-05
161,22300.5,1.13183,2.92755,1.54565,0.66007,0.39205,0.43129,0.19454,2.39427,5.78668,3.68226,5.0007e-05,5.0007e-05,5.0007e-05
162,22431.4,1.14339,3.01792,1.56468,0.70343,0.39031,0.43098,0.19497,2.39963,5.80984,3.69101,4.77353e-05,4.77353e-05,4.77353e-05
163,22558.2,1.13201,2.96964,1.55333,0.69968,0.39255,0.43518,0.19427,2.40183,5.80222,3.69362,4.55137e-05,4.55137e-05,4.55137e-05
164,22686,1.12739,2.92783,1.55039,0.6902,0.39481,0.43641,0.19457,2.39865,5.79211,3.6884,4.33429e-05,4.33429e-05,4.33429e-05
165,22817.9,1.13057,2.9403,1.55209,0.70884,0.38213,0.43478,0.19842,2.39906,5.75539,3.67865,4.12234e-05,4.12234e-05,4.12234e-05
166,22944.6,1.1263,2.92008,1.55338,0.71335,0.38067,0.43573,0.19866,2.39787,5.73487,3.66782,3.91558e-05,3.91558e-05,3.91558e-05
167,23072.3,1.13218,2.99536,1.55889,0.71618,0.38681,0.43753,0.19963,2.39742,5.71313,3.66777,3.71404e-05,3.71404e-05,3.71404e-05
